CLUSTER ID,Cluster Name,LATITUDE,LONGITUDE,TYPE,Name FME/Infra,STATUS (Existing/Proposed),Condition
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Grass/Brush Cutter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Combine Harvester,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Combine Harvester,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Floating Tiller,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Motorcycle with Sidecar (kulong-kulong),Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Motorcycle with Sidecar (kulong-kulong),Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Motorcycle with Sidecar (kulong-kulong),Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Motorcycle with Sidecar (kulong-kulong),Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hauling Truck,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Hauling Truck,Proposed,
C-R2-0009,NUEVA SEGOVIA ARC,18.11319,121.5575981,FME,4WD Tractor with complete implements,Proposed,
